Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1432.5304
FDW14,OUT017,1538.1237
NCN55,OUT010,386.9542
FDQ58,OUT017,1779.5685
FDY38,OUT027,2500.799
FDH56,OUT046,1451.3997
FDL48,OUT018,797.24133
FDC48,OUT027,1252.4229
FDN33,OUT045,1346.6553
FDA36,OUT017,1667.7039
FDT44,OUT017,1443.9293
FDQ56,OUT045,1106.6537
NCC54,OUT019,1061.8003
FDU11,OUT049,3118.979
DRL59,OUT013,653.4154
FDM24,OUT049,2659.517
FDI57,OUT045,5000.2305
DRC12,OUT018,4079.0337
NCM42,OUT027,3000.3496
FDA46,OUT010,591.21326
FDA31,OUT013,3688.6113
NCJ31,OUT035,3473.3826
FDG52,OUT046,793.5884
NCL19,OUT019,309.665
FDS10,OUT035,4422.95
FDX22,OUT010,360.1566
NCF19,OUT035,506.44113
NCE06,OUT046,2979.0312
DRC27,OUT046,3044.3992
FDE21,OUT035,1585.6305
NCR42,OUT019,287.1014
FDX51,OUT018,2602.1465
NCR06,OUT018,365.46664
FDU31,OUT027,4469.616
FDU59,OUT017,2465.1448
FDR03,OUT027,6777.6206
FDS49,OUT027,2327.638
FDD48,OUT010,313.01315
NCF18,OUT017,2328.5413
NCD43,OUT027,1550.9954
NCD54,OUT018,1267.1172
FDY19,OUT010,358.0693
NCY54,OUT017,2589.6064
NCL19,OUT018,2073.7534
FDP23,OUT010,634.7196
FDC26,OUT013,2662.8977
FDR14,OUT010,306.39914
NCS41,OUT035,2863.0603
FDF41,OUT035,3122.7126
FDU34,OUT046,2081.1274
DRH11,OUT046,739.745
FDM03,OUT013,1820.4656
FDS31,OUT017,2517.0054
FDJ20,OUT017,1514.1731
FDV44,OUT027,4402.117
FDG02,OUT049,3140.57
FDA09,OUT013,2623.121
FDT04,OUT013,666.681
FDL58,OUT019,869.579
FDE52,OUT045,1103.8923
FDW12,OUT035,3247.541
FDL51,OUT017,5885.012
NCY42,OUT027,2907.0325
FDR07,OUT017,1287.9818
FDN40,OUT045,1232.8674
FDB35,OUT027,1728.2823
FDA22,OUT017,1451.8173
NCL06,OUT046,4887.4307
FDI35,OUT013,2730.3433
NCW42,OUT045,1963.1456
NCX06,OUT049,3283.316
FDC37,OUT027,2578.7554
FDZ14,OUT018,3262.7524
DRG49,OUT049,6771.973
NCG06,OUT045,2172.6284
